,route_or_line,time,gated_entries,temp,precip,preciptype,snow,traincnt,date
267,Red Line,2022-01-06 18:00:00,2102.19,37.5,0.0,"rain,snow",0.2,20,2022-01-06
268,Red Line,2022-01-06 18:30:00,1544.1,37.5,0.0,"rain,snow",0.2,21,2022-01-06
269,Red Line,2022-01-06 19:00:00,1305.7,37.5,0.0,"rain,snow",0.2,21,2022-01-06
270,Red Line,2022-01-06 19:30:00,952.05,37.5,0.0,"rain,snow",0.2,21,2022-01-06
271,Red Line,2022-01-06 20:00:00,776.55,37.5,0.0,"rain,snow",0.2,20,2022-01-06
272,Red Line,2022-01-06 20:30:00,666.05,37.5,0.0,"rain,snow",0.2,21,2022-01-06
273,Red Line,2022-01-06 21:00:00,747.73,37.5,0.0,"rain,snow",0.2,22,2022-01-06
274,Red Line,2022-01-06 21:30:00,728.13,37.5,0.0,"rain,snow",0.2,22,2022-01-06
275,Red Line,2022-01-06 22:00:00,685.98,37.5,0.0,"rain,snow",0.2,22,2022-01-06
276,Red Line,2022-01-06 22:30:00,487.84,37.5,0.0,"rain,snow",0.2,22,2022-01-06
277,Red Line,2022-01-06 23:00:00,469.22,37.5,0.0,"rain,snow",0.2,22,2022-01-06
278,Red Line,2022-01-06 23:30:00,220.33,37.5,0.0,"rain,snow",0.2,21,2022-01-06
279,Red Line,2022-01-07 00:00:00,159.11,29.7,0.419,"rain,snow",3.4,21,2022-01-07
280,Red Line,2022-01-07 00:30:00,83.19,29.7,0.419,"rain,snow",3.4,20,2022-01-07
281,Red Line,2022-01-07 01:00:00,37.23,29.7,0.419,"rain,snow",3.4,19,2022-01-07
282,Red Line,2022-01-07 01:30:00,4.7,29.7,0.419,"rain,snow",3.4,18,2022-01-07
