,route_or_line,date,gated_entries,temp,precip,preciptype,snow,traincnt,single_traincap,line_length_sec,tot_linecap,per_thirty_cap,supply_gap_simple,prev_supply_gap_simple,gated_entries_complex,supply_gap_complex
154,Red Line,2022-06-04,62010.74,61.1,0.0,,0.0,14.104166666666666,852,2520,12016.75,8869.505729166667,-363725.535,0.0,62010.74,-363725.535
155,Red Line,2022-06-05,47684.66,66.2,0.0,,0.0,12.895833333333334,852,2520,10987.25,8109.636666666666,-341577.9,567.516,48252.176,-341010.384
156,Red Line,2022-06-06,89552.06999999999,67.1,0.0,,0.0,15.979166666666666,852,2520,13614.25,10048.613083333334,-392781.358,15448.265000000001,105000.335,-377333.093
157,Red Line,2022-06-07,102775.79,70.3,0.0,,0.0,17.0,852,2520,14484.0,10690.571375,-410371.636,15295.903,118071.693,-395075.733
158,Red Line,2022-06-08,103120.98,71.6,0.241,rain,0.0,16.875,852,2520,14377.5,10611.964270833332,-406253.305,13870.311,116991.291,-392382.994
159,Red Line,2022-06-09,97016.03,70.5,0.843,rain,0.0,16.604166666666668,852,2520,14146.75,10441.6488125,-404183.113,12332.988000000001,109349.018,-391850.125
160,Red Line,2022-06-10,98721.01,69.8,0.0,,0.0,16.4375,852,2520,14004.75,10336.839333333333,-397447.278,8939.454,107660.464,-388507.824
161,Red Line,2022-06-11,52185.950000000004,70.6,0.0,,0.0,12.125,852,2520,10330.5,7624.8929375,-313808.911,106.626,52292.576,-313702.285
162,Red Line,2022-06-12,41256.64,69.1,0.0,,0.0,10.6875,852,2520,9105.75,6720.910812499999,-281347.079,637.2289999999999,41893.869,-280709.85
163,Red Line,2022-06-13,89587.0,73.3,0.094,rain,0.0,15.625,852,2520,13312.5,9825.892875,-382055.858,18086.354,107673.35399999999,-363969.504
164,Red Line,2022-06-14,103333.88,73.0,0.0,,0.0,16.479166666666668,852,2520,14040.25,10363.0416875,-394092.121,20473.54,123807.42,-373618.581
165,Red Line,2022-06-15,105913.67,65.8,0.0,,0.0,16.291666666666668,852,2520,13880.5,10245.131020833333,-385852.619,18875.659,124789.329,-366976.96
